project,floor_number,total_floors,living_area,area,price,rooms,is_apartment,penthouse,metro_set.name,metro_set,settling_date_formatted
Большое Путилково,20,25,32.69,50.9,13193484,2,False,False,,"[{'name': 'Сходненская', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 122}, {'name': 'Митино', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 235}, {'name': 'Пятницкое шоссе', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 244}, {'name': 'Планерная', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 94}]",30 апр. 2027
Космический Квартал,10,16,30.81,60.54,10629916,2,False,False,,"[{'name': 'Ж/д ст. Болшево', 'color': '#FFFFFF', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Ж/д ст. ""Фабрика 1 мая""', 'color': '#FFFFFF', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': None}]",30 сен. 2027
Новое Видное,3,12,26.32,54.58,11415571,2,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}, {'name': 'Ж/д ст. Калинина', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 дек. 2025
Тропарево Парк,21,23,0.0,54.63,10890824,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",30 мар. 2025
Рублевский Квартал,1,8,45.53,67.89,10912626,3,False,False,,"[{'name': 'МЦД-1 Одинцово', 'color': '#FFCD76', 'car_time': 20, 'walk_time': None, 'public_transport_time': 30, 'cian_id': None}]",31 июл. 2025
Пригород Лесное,12,15,41.28,77.73,10804516,3,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",31 окт. 2026
Тропарево Парк,19,23,0.0,64.79,10733817,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",30 дек. 2026
Большое Путилково,8,25,29.09,44.41,11379263,1,False,False,,"[{'name': 'Сходненская', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 122}, {'name': 'Митино', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 235}, {'name': 'Пятницкое шоссе', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 244}, {'name': 'Планерная', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 94}]",30 апр. 2027
Эко Бунино,20,20,25.1,47.9,11244695,2,False,False,,"[{'name': 'Новомосковская (Коммунарка)', 'color': '#E42518', 'car_time': None, 'walk_time': 25, 'public_transport_time': None, 'cian_id': None}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}, {'name': 'Сосенки (строится)', 'color': '#03795F', 'car_time': None, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",30 июн. 2026
Томилино Парк,16,17,26.94,55.72,12065061,2,False,False,,"[{'name': 'Котельники', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 282}]",31 авг. 2025
Квартал Строгино,20,24,10.26,32.68,13163602,1,False,False,,"[{'name': 'Липовая Роща (скоро)', 'color': '#27303F', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Строгино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 228}, {'name': 'Мякинино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 233}]",30 дек. 2026
Новоград Павлино,12,22,41.08,70.13,10366687,2,False,False,,"[{'name': 'МЦД-4 Железно\xadдорожная', 'color': '#40B280', 'car_time': 20, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'Некрасовка', 'color': '#DE64A1', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 373}]",30 сен. 2025
Тропарево Парк,8,23,0.0,55.79,11080063,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",31 май. 2026
