price,area,floor,rooms_number,complex,developer,address
38320000,80.0,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
38545939,76.4,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
38650360,61.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
38786860,75.8,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
38865000,50.0,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
39008340,74.7,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
39035572,77.3,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
39081600,47.2,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
39086460,92.6,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
39179060,92.6,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
39222400,47.6,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
39247200,47.4,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
39301220,69.4,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
