name,price,area,floor,rooms_number,project,meter_price
MIR-1-1-К-1-13-7-11307,22384750.0,39.1,13,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",572500.0
MIR-1-2-К-2-7-6-20710,22186772.0,39.02,7,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",568600.0
MIR-1-2-К-2-8-4-20808,21832101.0,38.73,8,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",563700.0
MIR-1-2-К-2-8-1-20805,63281768.0,107.33,8,4,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",589600.0
MIR-1-2-К-2-8-8-20812,18745416.0,30.06,8,0,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",623600.0
MIR-1-2-К-2-8-9-20813,47306519.0,75.97,8,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",622700.0
MIR-1-2-К-1-3-1-20301,57961314.0,90.03,3,3,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",643800.0
MIR-1-2-К-2-8-12-20816,40470262.0,62.09,8,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",651800.0
MIR-1-2-К-2-8-10-20814,30812007.0,42.67,8,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",722100.0
MIR-1-2-К-1-8-3-20803,41300490.0,62.7,8,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",658700.0
MIR-1-2-К-2-13-2-21306,28823232.0,58.56,13,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",492200.0
MIR-1-2-К-2-13-1-21305,63003816.0,105.96,13,4,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",594600.0
MIR-1-2-К-2-13-3-21307,38453712.0,88.44,13,3,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",434800.0
MIR-1-2-К-2-13-5-21309,19067058.0,30.06,13,0,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",634300.0
MIR-1-2-К-2-13-7-21311,31298904.0,42.84,13,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",730600.0
MIR-1-2-К-2-13-8-21312,40868469.0,62.29,13,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",656100.0
MIR-1-2-К-2-13-9-21313,40973580.0,62.1,13,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",659800.0
MIR-1-2-К-1-13-1-21301,59088330.0,89.46,13,3,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",660500.0
MIR-1-2-К-1-13-2-21302,26691428.0,49.64,13,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",537700.0
