Title,Price,Square,Address
1-комн. квартира 59,23 606 730 ₽,44.1 м²,Символ
1-комн. квартира 519,23 643 540 ₽,41.4 м²,Символ
1-комн. квартира 64,23 694 930 ₽,44.1 м²,Символ
1-комн. квартира 101,23 716 200 ₽,43.5 м²,Символ
1-комн. квартира 243,23 739 730 ₽,40.9 м²,Символ
1-комн. квартира 266,23 780 190 ₽,36.1 м²,Символ
1-комн. квартира 180,23 922 800 ₽,44 м²,Символ
1-комн. квартира 739,23 938 840 ₽,38.6 м²,Символ
1-комн. квартира 318,23 938 860 ₽,43.7 м²,Символ
1-комн. квартира 135,24 148 800 ₽,48 м²,Символ
2-комн. квартира 211,24 229 377 ₽,57.2 м²,Символ
1-комн. квартира 242,24 403 220 ₽,43.1 м²,Символ
1-комн. квартира 388,24 544 000 ₽,41.6 м²,Символ
1-комн. квартира 402,24 616 250 ₽,42.5 м²,Символ
2-комн. квартира 196,24 653 976 ₽,59 м²,Символ
2-комн. квартира 18,24 854 200 ₽,57.4 м²,Символ
1-комн. квартира 40,24 860 220 ₽,46.2 м²,Символ
2-комн. квартира 111,24 935 540 ₽,55.4 м²,Символ
1-комн. квартира 220,25 013 640 ₽,39.6 м²,Символ
2-комн. квартира 118,25 046 340 ₽,55.4 м²,Символ
2-комн. квартира 29,25 085 500 ₽,55 м²,Символ
1-комн. квартира 271,25 118 850 ₽,45.3 м²,Символ
1-комн. квартира 277,25 136 540 ₽,44.2 м²,Символ
2-комн. квартира 19,25 163 110 ₽,58.1 м²,Символ
2-комн. квартира 132,25 267 940 ₽,55.4 м²,Символ
2-комн. квартира 92,25 292 090 ₽,62.9 м²,Символ
1-комн. квартира 333,25 326 600 ₽,44.2 м²,Символ
1-комн. квартира 437,25 369 828 ₽,47.3 м²,Событие
1-комн. квартира 334,25 395 180 ₽,45.3 м²,Символ
1-комн. квартира 156,25 396 800 ₽,48 м²,Символ
1-комн. квартира 209,25 470 780 ₽,43.9 м²,Символ
2-комн. квартира 113,25 527 840 ₽,62.4 м²,Символ
2-комн. квартира 120,25 652 640 ₽,62.4 м²,Символ
2-комн. квартира 562,25 761 090 ₽,55.3 м²,Символ
2-комн. квартира 90,25 803 960 ₽,55.6 м²,Символ
1-комн. квартира 245,25 821 980 ₽,43.9 м²,Символ
2-комн. квартира 418,25 832 190 ₽,57.3 м²,Символ
2-комн. квартира 274,25 838 200 ₽,68.5 м²,Символ
2-комн. квартира 134,25 902 240 ₽,62.4 м²,Символ
2-комн. квартира 104,25 932 740 ₽,55.4 м²,Символ
2-комн. квартира 230,26 000 480 ₽,58.4 м²,Символ
1-комн. квартира 882,26 009 530 ₽,38.3 м²,Остров
2-комн. квартира 55,26 013 020 ₽,63.4 м²,Символ
2-комн. квартира 9,26 079 640 ₽,70.6 м²,Символ
2-комн. квартира 75,26 099 980 ₽,64.7 м²,Символ
2-комн. квартира 59,26 150 810 ₽,58.1 м²,Символ
1-комн. квартира 890,26 151 240 ₽,38.3 м²,Остров
2-комн. квартира 174,26 178 160 ₽,67.4 м²,Символ
2-комн. квартира 241,26 207 800 ₽,59 м²,Символ
2-комн. квартира 210,26 245 560 ₽,67.4 м²,Символ
2-комн. квартира 85,26 353 170 ₽,66.7 м²,Символ
2-комн. квартира 143,26 390 604 ₽,67.4 м²,Символ
2-комн. квартира 79,26 393 420 ₽,63.4 м²,Символ
2-комн. квартира 89,26 433 730 ₽,64.3 м²,Символ
2-комн. квартира 233,26 508 330 ₽,57.3 м²,Символ
2-комн. квартира 228,26 515 160 ₽,67.4 м²,Символ
2-комн. квартира 21,26 552 400 ₽,69.6 м²,Символ
2-комн. квартира 244,26 622 930 ₽,57.3 м²,Символ
2-комн. квартира 153,26 708 340 ₽,55.4 м²,Символ
2-комн. квартира 624,26 739 018 ₽,61.5 м²,Символ
1-комн. квартира 342,26 741 340 ₽,45.9 м²,Событие
1-комн. квартира 256,26 776 857 ₽,49.6 м²,Событие
2-комн. квартира 246,26 784 760 ₽,67.4 м²,Символ
2-комн. квартира 44,26 913 810 ₽,67.1 м²,Символ
1-комн. квартира 608,27 005 496 ₽,34.8 м²,Остров
2-комн. квартира 52,27 048 010 ₽,67.1 м²,Символ
1-комн. квартира 318,27 055 840 ₽,40.6 м²,Остров
2-комн. квартира 115,27 135 180 ₽,64.7 м²,Символ
2-комн. квартира 241,27 136 080 ₽,59.6 м²,Символ
2-комн. квартира 441,27 160 380 ₽,68.9 м²,Символ
2-комн. квартира 96,27 189 630 ₽,66.3 м²,Символ
2-комн. квартира 337,27 229 280 ₽,68.9 м²,Символ
2-комн. квартира 247,27 314 432 ₽,64 м²,Символ
2-комн. квартира 238,27 445 520 ₽,59.2 м²,Символ
2-комн. квартира 542,27 449 820 ₽,64.2 м²,Символ
2-комн. квартира 139,27 470 700 ₽,65.5 м²,Символ
1-комн. квартира 473,27 486 030 ₽,47.3 м²,Событие
1-комн. квартира 743,27 501 440 ₽,38.8 м²,Остров
2-комн. квартира 155,27 524 640 ₽,62.4 м²,Символ
2-комн. квартира 53,27 567 980 ₽,63.8 м²,Символ
2-комн. квартира 259,27 623 800 ₽,59 м²,Символ
2-комн. квартира 36,27 710 032 ₽,69.4 м²,Символ
1-комн. квартира 366,27 725 740 ₽,40.6 м²,Остров
1-комн. квартира 758,27 737 981 ₽,43.4 м²,Остров
2-комн. квартира 396,27 749 960 ₽,59.6 м²,Символ
1-комн. квартира 1109,27 841 920 ₽,40.8 м²,Остров
2-комн. квартира 159,27 878 796 ₽,67.4 м²,Символ
2-комн. квартира 385,27 898 760 ₽,60.4 м²,Символ
2-комн. квартира 535,27 964 200 ₽,63 м²,Символ
2-комн. квартира 3,27 997 200 ₽,70.7 м²,Символ
2-комн. квартира 583,28 010 160 ₽,62.4 м²,Символ
1-комн. квартира 632,28 012 500 ₽,45 м²,Остров
1-комн. квартира 211,28 019 040 ₽,49.6 м²,Событие
2-комн. квартира 33,28 092 500 ₽,66.1 м²,Символ
1-комн. квартира 742,28 112 200 ₽,38.3 м²,Остров
2-комн. квартира 111,28 139 500 ₽,67.4 м²,Символ
2-комн. квартира 245,28 189 168 ₽,62 м²,Символ
2-комн. квартира 598,28 273 200 ₽,64 м²,Символ
2-комн. квартира 116,28 297 410 ₽,66.1 м²,Символ
1-комн. квартира 487,28 344 270 ₽,44.7 м²,Остров
1-комн. квартира 88,28 356 870 ₽,55.7 м²,Символ
2-комн. квартира 126,28 396 000 ₽,62 м²,Символ
2-комн. квартира 264,28 402 360 ₽,67.4 м²,Символ
2-комн. квартира 465,28 407 470 ₽,68.9 м²,Символ
2-комн. квартира 192,28 411 080 ₽,64.4 м²,Символ
2-комн. квартира 127,28 415 840 ₽,67.4 м²,Символ
2-комн. квартира 268,28 423 200 ₽,59.4 м²,Символ
2-комн. квартира 123,28 429 610 ₽,66.1 м²,Символ
2-комн. квартира 406,28 438 400 ₽,63.2 м²,Символ
2-комн. квартира 68,28 476 208 ₽,69.4 м²,Символ
2-комн. квартира 110,28 514 270 ₽,69.7 м²,Символ
2-комн. квартира 216,28 526 100 ₽,64.5 м²,Символ
2-комн. квартира 399,28 618 860 ₽,63.9 м²,Символ
2-комн. квартира 117,28 653 670 ₽,69.7 м²,Символ
2-комн. квартира 419,28 771 200 ₽,55.5 м²,Символ
1-комн. квартира 870,28 782 000 ₽,46.8 м²,Остров
2-комн. квартира 124,28 793 070 ₽,69.7 м²,Символ
1-комн. квартира 443,28 855 200 ₽,44 м²,Остров
1-комн. квартира 226,28 941 600 ₽,49.6 м²,Событие
1-комн. квартира 878,28 955 160 ₽,46.8 м²,Остров
2-комн. квартира 144,28 992 000 ₽,64 м²,Символ
2-комн. квартира 14,29 018 400 ₽,67.8 м²,Символ
2-комн. квартира 138,29 071 870 ₽,69.7 м²,Символ
2-комн. квартира 443,29 104 200 ₽,55.5 м²,Символ
2-комн. квартира 382,29 153 600 ₽,53.2 м²,Символ
2-комн. квартира 745,29 190 000 ₽,64.8 м²,Символ
3-комн. квартира 307,29 211 260 ₽,70.7 м²,Символ
2-комн. квартира 451,29 215 200 ₽,55.5 м²,Символ
2-комн. квартира 574,29 299 360 ₽,64.3 м²,Символ
2-комн. квартира 738,29 336 520 ₽,64.1 м²,Символ
1-комн. квартира 330,29 372 720 ₽,46.3 м²,Событие
1-комн. квартира 582,29 409 500 ₽,44.9 м²,Остров
1-комн. квартира 232,29 683 790 ₽,46.1 м²,Остров
2-комн. квартира 255,29 766 400 ₽,64 м²,Символ
1-комн. квартира 327,29 948 040 ₽,49.2 м²,Событие
2-комн. квартира 88,30 057 090 ₽,63.5 м²,Символ
1-комн. квартира 440,30 199 500 ₽,45 м²,Остров
1-комн. квартира 543,30 276 400 ₽,44 м²,Остров
2-комн. квартира 44,30 327 800 ₽,69.4 м²,Символ
3-комн. квартира 280,30 352 290 ₽,70.9 м²,Символ
2-комн. квартира 415,30 380 800 ₽,75.2 м²,Символ
2-комн. квартира 384,30 413 500 ₽,65 м²,Символ
1-комн. квартира 850,30 429 480 ₽,47.8 м²,Остров
2-комн. квартира 418,30 459 280 ₽,69.1 м²,Символ
2-комн. квартира 455,30 734 240 ₽,75.2 м²,Символ
2-комн. квартира 42,30 773 600 ₽,71.5 м²,Символ
2-комн. квартира 344,30 847 040 ₽,75.2 м²,Символ
2-комн. квартира 442,30 873 880 ₽,69.1 м²,Символ
2-комн. квартира 159,30 884 070 ₽,69.7 м²,Символ
2-комн. квартира 172,30 905 050 ₽,67.7 м²,Символ
2-комн. квартира 472,30 934 650 ₽,76.1 м²,Символ
2-комн. квартира 450,31 012 080 ₽,69.1 м²,Символ
3-комн. квартира 289,31 044 370 ₽,70.7 м²,Символ
2-комн. квартира 194,31 176 060 ₽,68.7 м²,Символ
2-комн. квартира 38,31 182 620 ₽,67.7 м²,Символ
2-комн. квартира 122,31 262 720 ₽,68.8 м²,Символ
3-комн. квартира 72,31 288 000 ₽,80 м²,Символ
2-комн. квартира 19,31 288 320 ₽,67.9 м²,Символ
2-комн. квартира 214,31 379 730 ₽,73.3 м²,Символ
1-комн. квартира 135,31 492 350 ₽,42.3 м²,Остров
1-комн. квартира 545,31 504 400 ₽,45.2 м²,Остров
2-комн. квартира 189,31 786 560 ₽,62.4 м²,Символ
2-комн. квартира 369,31 813 200 ₽,81.6 м²,Символ
2-комн. квартира 191,31 892 640 ₽,74.1 м²,Символ
3-комн. квартира 80,32 007 160 ₽,79.6 м²,Символ
2-комн. квартира 241,32 063 640 ₽,68.6 м²,Символ
2-комн. квартира 249,32 104 800 ₽,68.6 м²,Символ
3-комн. квартира 334,32 111 940 ₽,70.7 м²,Символ
2-комн. квартира 193,32 189 710 ₽,70.7 м²,Символ
3-комн. квартира 72,32 388 544 ₽,78.6 м²,Символ
2-комн. квартира 471,32 419 400 ₽,67.4 м²,Символ
2-комн. квартира 137,32 461 710 ₽,66.1 м²,Символ
2-комн. квартира 87,32 518 010 ₽,79.1 м²,Символ
1-комн. квартира 279,32 520 800 ₽,47.2 м²,Остров
2-комн. квартира 466,32 670 480 ₽,69.1 м²,Символ
1-комн. квартира 605,32 805 500 ₽,45.5 м²,Остров
1-комн. квартира 260,32 844 000 ₽,47.6 м²,Остров
