developer,complex,metro_name,metro_walk_time,apartment_type,area,price,price for м2,Корпус,floor,rooms_number,Отделка,Срок сдачи
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,23 904 874 ₽,412 153 ₽ за м2,5.8,12/13,552,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.7 м2,23 969 640 ₽,394 887 ₽ за м2,5.4,4/4,530,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,61.5 м2,23 981 310 ₽,389 940 ₽ за м2,5.4,8/27,330,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,23 983 000 ₽,429 495 ₽ за м2,4.1,27/44,258,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.4 м2,24 019 489 ₽,418 458 ₽ за м2,5.3,12/13,240,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.8 м2,24 026 085 ₽,401 774 ₽ за м2,5.7,6/13,364,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 094 401 ₽,431 490 ₽ за м2,4.1,29/44,274,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.65 м2,24 139 300 ₽,433 770 ₽ за м2,4.2,2/12,393,Без отделки,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.65 м2,24 218 601 ₽,435 195 ₽ за м2,4.2,3/12,402,Без отделки,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 232 326 ₽,433 960 ₽ за м2,4.1,32/44,298,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.8 м2,24 246 508 ₽,405 460 ₽ за м2,5.7,8/13,378,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.8 м2,24 327 600 ₽,400 125 ₽ за м2,5.7,3/13,343,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.86 м2,24 394 077 ₽,429 020 ₽ за м2,5,27/30,794,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 497 566 ₽,438 710 ₽ за м2,4.1,38/44,346,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 522 197 ₽,401 674 ₽ за м2,4.1,14/44,135,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,65.2 м2,24 538 672 ₽,376 360 ₽ за м2,5.7,3/13,429,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 540 004 ₽,439 470 ₽ за м2,4.1,39/44,354,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.8 м2,24 664 151 ₽,412 444 ₽ за м2,5.7,12/13,406,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 666 642 ₽,404 040 ₽ за м2,4.1,16/44,155,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.4 м2,24 687 625 ₽,430 098 ₽ за м2,5.1,5/13,25,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 733 308 ₽,405 132 ₽ за м2,4.1,17/44,165,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,60.75 м2,24 741 348 ₽,407 265 ₽ за м2,4.1,6/44,51,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.33 м2,24 824 421 ₽,404 768 ₽ за м2,4.1,27/44,260,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 872 197 ₽,407 407 ₽ за м2,4.1,19/44,185,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,65.2 м2,24 886 514 ₽,381 695 ₽ за м2,5.7,6/13,450,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.33 м2,24 936 042 ₽,406 588 ₽ за м2,4.1,29/44,276,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,63.54 м2,25 013 537 ₽,393 666 ₽ за м2,4.1,14/44,133,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.33 м2,25 042 081 ₽,408 317 ₽ за м2,4.1,31/44,292,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,25 061 086 ₽,410 501 ₽ за м2,4.1,22/44,215,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,60.75 м2,25 139 565 ₽,413 820 ₽ за м2,4.1,11/44,102,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.4 м2,25 155 320 ₽,438 246 ₽ за м2,5.1,11/13,67,Предчистовая,2 квартал 2027
